Name,New Name,Type
FLASH,FLASH,VAR_EXTERNAL
FLASH-500MS,FLASH-500MS,VAR_EXTERNAL
J/JL/Lxx-DR-DO_1,J/JL/Lxx-DR-DO_1,VAR_EXTERNAL
J/JL/Lxx-DR-DO_2,J/JL/Lxx-DR-DO_2,VAR_EXTERNAL
J/JL/Lxx-DR-DO_3,J/JL/Lxx-DR-DO_3,VAR_EXTERNAL
J/JL/Lxx-DR-DO_4,J/JL/Lxx-DR-DO_4,VAR_EXTERNAL
J/JL/Lxx-DR-DO_5,J/JL/Lxx-DR-DO_5,VAR_EXTERNAL
J/JL/Lxx-DR-RD_1,J/JL/Lxx-DR-RD_1,VAR_EXTERNAL
J/JL/Lxx-DR-RD_2,J/JL/Lxx-DR-RD_2,VAR_EXTERNAL
J/JL/Lxx-DR-RD_3,J/JL/Lxx-DR-RD_3,VAR_EXTERNAL
J/JL/Lxx-DR-RD_4,J/JL/Lxx-DR-RD_4,VAR_EXTERNAL
J/JL/Lxx-DR-RD_5,J/JL/Lxx-DR-RD_5,VAR_EXTERNAL
J/JL/Lxx-E-AS_1,J/JL/Lxx-E-AS_1,VAR_EXTERNAL
J/JL/Lxx-E-AS_2,J/JL/Lxx-E-AS_2,VAR_EXTERNAL
J/JL/Lxx-E-AS_3,J/JL/Lxx-E-AS_3,VAR_EXTERNAL
J/JL/Lxx-E-AS_4,J/JL/Lxx-E-AS_4,VAR_EXTERNAL
J/JL/Lxx-E-AS_5,J/JL/Lxx-E-AS_5,VAR_EXTERNAL
J/JL/Lxx-ER-DO_1,J/JL/Lxx-ER-DO_1,VAR_EXTERNAL
J/JL/Lxx-ER-DO_2,J/JL/Lxx-ER-DO_2,VAR_EXTERNAL
J/JL/Lxx-ER-DO_3,J/JL/Lxx-ER-DO_3,VAR_EXTERNAL
J/JL/Lxx-ER-DO_4,J/JL/Lxx-ER-DO_4,VAR_EXTERNAL
J/JL/Lxx-ER-DO_5,J/JL/Lxx-ER-DO_5,VAR_EXTERNAL
J/JL/Lxx-ER-RD_1,J/JL/Lxx-ER-RD_1,VAR_EXTERNAL
J/JL/Lxx-ER-RD_2,J/JL/Lxx-ER-RD_2,VAR_EXTERNAL
J/JL/Lxx-ER-RD_3,J/JL/Lxx-ER-RD_3,VAR_EXTERNAL
J/JL/Lxx-ER-RD_4,J/JL/Lxx-ER-RD_4,VAR_EXTERNAL
J/JL/Lxx-ER-RD_5,J/JL/Lxx-ER-RD_5,VAR_EXTERNAL
J/JL/Lxx-GR-DO_1,J/JL/Lxx-GR-DO_1,VAR_EXTERNAL
J/JL/Lxx-GR-DO_2,J/JL/Lxx-GR-DO_2,VAR_EXTERNAL
J/JL/Lxx-GR-DO_3,J/JL/Lxx-GR-DO_3,VAR_EXTERNAL
J/JL/Lxx-GR-DO_4,J/JL/Lxx-GR-DO_4,VAR_EXTERNAL
J/JL/Lxx-GR-DO_5,J/JL/Lxx-GR-DO_5,VAR_EXTERNAL
J/JL/Lxx-GR-RD_1,J/JL/Lxx-GR-RD_1,VAR_EXTERNAL
J/JL/Lxx-GR-RD_2,J/JL/Lxx-GR-RD_2,VAR_EXTERNAL
J/JL/Lxx-GR-RD_3,J/JL/Lxx-GR-RD_3,VAR_EXTERNAL
J/JL/Lxx-GR-RD_4,J/JL/Lxx-GR-RD_4,VAR_EXTERNAL
J/JL/Lxx-GR-RD_5,J/JL/Lxx-GR-RD_5,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_1,J/JL/Lxx-HR/DR-DO_1,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_2,J/JL/Lxx-HR/DR-DO_2,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_3,J/JL/Lxx-HR/DR-DO_3,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_4,J/JL/Lxx-HR/DR-DO_4,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_5,J/JL/Lxx-HR/DR-DO_5,VAR_EXTERNAL
J/JL/Lxx-HR/DR-RD_1,J/JL/Lxx-HR/DR-RD_1,VAR_EXTERNAL
J/JL/Lxx-HR/DR-RD_2,J/JL/Lxx-HR/DR-RD_2,VAR_EXTERNAL
J/JL/Lxx-HR/DR-RD_3,J/JL/Lxx-HR/DR-RD_3,VAR_EXTERNAL
J/JL/Lxx-HR/DR-RD_4,J/JL/Lxx-HR/DR-RD_4,VAR_EXTERNAL
J/JL/Lxx-HR/DR-RD_5,J/JL/Lxx-HR/DR-RD_5,VAR_EXTERNAL
J/JL/Lxx-PBE_1,J/JL/Lxx-PBE_1,VAR_EXTERNAL
J/JL/Lxx-PBE_2,J/JL/Lxx-PBE_2,VAR_EXTERNAL
J/JL/Lxx-PBE_3,J/JL/Lxx-PBE_3,VAR_EXTERNAL
J/JL/Lxx-PBE_4,J/JL/Lxx-PBE_4,VAR_EXTERNAL
J/JL/Lxx-PBE_5,J/JL/Lxx-PBE_5,VAR_EXTERNAL
J/JL/Lxx-PBE-DO_1,J/JL/Lxx-PBE-DO_1,VAR_EXTERNAL
J/JL/Lxx-PBE-DO_2,J/JL/Lxx-PBE-DO_2,VAR_EXTERNAL
J/JL/Lxx-PBE-DO_3,J/JL/Lxx-PBE-DO_3,VAR_EXTERNAL
J/JL/Lxx-PBE-DO_4,J/JL/Lxx-PBE-DO_4,VAR_EXTERNAL
J/JL/Lxx-PBE-DO_5,J/JL/Lxx-PBE-DO_5,VAR_EXTERNAL
J/JL/Lxx-PBE-F_1,J/JL/Lxx-PBE-F_1,VAR_EXTERNAL
J/JL/Lxx-PBE-F_2,J/JL/Lxx-PBE-F_2,VAR_EXTERNAL
J/JL/Lxx-PBE-F_3,J/JL/Lxx-PBE-F_3,VAR_EXTERNAL
J/JL/Lxx-PBE-F_4,J/JL/Lxx-PBE-F_4,VAR_EXTERNAL
J/JL/Lxx-PBE-F_5,J/JL/Lxx-PBE-F_5,VAR_EXTERNAL
J/JL/Lxx-RRLS_1,J/JL/Lxx-RRLS_1,VAR_EXTERNAL
J/JL/Lxx-RRLS_2,J/JL/Lxx-RRLS_2,VAR_EXTERNAL
J/JL/Lxx-RRLS_3,J/JL/Lxx-RRLS_3,VAR_EXTERNAL
J/JL/Lxx-RRLS_4,J/JL/Lxx-RRLS_4,VAR_EXTERNAL
J/JL/Lxx-RRLS_5,J/JL/Lxx-RRLS_5,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_1,J/JL/Lxx-RST-CTRL_1,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_2,J/JL/Lxx-RST-CTRL_2,VAR_EXTERNAL
